аэропОрты аэропортЫ аэропорты
бАнты бантЫ банты
бОроду бородУ бороду
бухгАлтеров бухгалтерОв бухгалтеров
вероисповЕдание вероисповедАние вероисповедание
водопровОд водопрОвод водопровод
граждАнство грАжданство гражданство
дефИс дЕфис дефис
дешевИзна дешевизнА дешевизна
диспансЕр диспАнсер диспансер
договорЁнность договОренность договоренность
докумЕнт дОкумент документ
досУг дОсуг досуг
еретИк ерЕтик еретик
жалюзИ жАлюзи жалюзи
знАчимость значИмость значимость
Иксы иксы иксы
каталОг катАлог каталог
квартАл квАртал квартал
киломЕтр килОметр километр
кОнусов конусОв конусов
корЫсть кОрысть корысть
крАны кранЫ краны
кремЕнь крЕмень кремень
лЕкторов лекторОв лекторов
лОктя локтЯ локтя
лыжнЯ лЫжня лыжня
мЕстностей местностЕй местностей
намЕрение намерЕние намерение
нарОст нАрост нарост
нЕдруг недрУг недруг
недУг нЕдуг недуг
некролОг некрОлог некролог
нЕнависть ненавИсть ненависть
нефтепровОд нефтепрОвод нефтепровод
новостЕй нОвостей новостей
нОгтя ногтЯ ногтя
Отзыв отзЫв отзыв
